genesymbol,cell_type,organ,organism
IFITM1,Pericytes,Vasculature,human
INF2,Basophils,Immune system,human
JAZF1,Basophils,Immune system,human
L1CAM,Enterocytes,GI tract,human
L1CAM,Basophils,Immune system,human
LAMA5,Basophils,Immune system,human
MBOAT1,Basophils,Immune system,human
NFIL3,Basophils,Immune system,human
NPL,Basophils,Immune system,human
NT5C3A,Basophils,Immune system,mouse
OSBPL5,Basophils,Immune system,human
OTUB2,Basophils,Immune system,human
P2RY1,Chromaffin cells,Adrenal glands,human
P2RY1,Bergmann glia,Brain,human
P2RY1,Basophils,Immune system,human
PDK3,Basophils,Immune system,human
PDZD4,Basophils,Immune system,human
PERP,Trophoblast cells,Embryo,human
PERP,Basophils,Immune system,human
PERP,Ductal cells,Pancreas,human
PIGY,Basophils,Immune system,human
PLEKHG5,Basophils,Immune system,human
PLG,Basophils,Immune system,human
RNF39,Basophils,Immune system,human
SLC26A3,Basophils,Immune system,human
SLC26A3,Enterocytes,GI tract,human
SLC26A8,Basophils,Immune system,human
SNCAIP,Basophils,Immune system,human
ST6GALNAC5,Basophils,Immune system,human
SUPT3H,Basophils,Immune system,human
TULP3,Basophils,Immune system,human
TEC,Basophils,Immune system,human
UNC93A,Basophils,Immune system,human
WRN,Erythroblasts,Blood,human
WRN,Basophils,Immune system,human
ID1,Endothelial cells,Vasculature,human
ID1,Basophils,Immune system,human
GRIA4,Bergmann glia,Brain,human
GRM3,Bergmann glia,Brain,human
A2M,Bergmann glia,Brain,human
PTCH1,Fibroblasts,Connective tissue,human
PTCH1,Leydig cells,Reproductive,human
PTCH1,Bergmann glia,Brain,human
CDC42EP4,Bergmann glia,Brain,human
BTBD17,Bergmann glia,Brain,human
HOPX,Crypt cells,GI tract,human
HOPX,Gamma delta T cells,Immune system,human
HOPX,Bergmann glia,Brain,human
HOPX,Pulmonary alveolar type I cells,Lungs,human
HOPX,Neural stem/precursor cells,Brain,human
HOPX,NK cells,Immune system,human
HOPX,Mesangial cells,Kidney,human
HOPX,Beta cells,Pancreas,human
TTC21B,Bergmann glia,Brain,human
HEPACAM,Bergmann glia,Brain,human
HEPACAM,Oligodendrocytes,Brain,human
ZEB2,Fibroblasts,Connective tissue,human
ZEB2,Bergmann glia,Brain,human
UFL1,Bergmann glia,Brain,human
NRXN3,Bergmann glia,Brain,human
ATP7A,Bergmann glia,Brain,human
BICD2,Bergmann glia,Brain,human
P2RX7,T follicular helper cells,Immune system,human
P2RX7,Satellite glial cells,Brain,human
P2RX7,Pulmonary alveolar type I cells,Lungs,human
P2RX7,Bergmann glia,Brain,human
P2RX7,Microglia,Brain,human
GRIA1,Bergmann glia,Brain,human
GRIN2B,Bergmann glia,Brain,human
GRIN3A,Bergmann glia,Brain,human
SEPTIN4,Bergmann glia,Brain,human
DAO,Bergmann glia,Brain,human
ITGB1,Bergmann glia,Brain,human
ITGB1,Erythroblasts,Blood,human
ITGB1,Osteoclasts,Bone,human
ITGB1,Embryonic stem cells,Zygote,human
KIFBP,Bergmann glia,Brain,human
GCGR,Beta cells,Pancreas,human
JPH3,Beta cells,Pancreas,human
HAMP,Hepatocytes,Liver,human
HAMP,Cardiomyocytes,Heart,human
HAMP,Beta cells,Pancreas,human
EZH1,Beta cells,Pancreas,human
NTRK1,Beta cells,Pancreas,human
NTRK1,Chromaffin cells,Adrenal glands,human
NTRK1,Immature neurons,Brain,human
PDX1,Pancreatic progenitor cells,Pancreas,human
PDX1,Beta cells,Pancreas,human
PDX1,Delta cells,Pancreas,human
PDX1,Ductal cells,Pancreas,human
SLC2A2,Beta cells,Pancreas,human
SLC2A2,Hepatocytes,Liver,human
SLC2A2,Enterocytes,GI tract,human
NKX6-2,Oligodendrocyte progenitor cells,Brain,human
NKX6-2,Beta cells,Pancreas,human
NKX6-2,Oligodendrocytes,Brain,human
P01325,Beta cells,Pancreas,mouse
P01326,Beta cells,Pancreas,mouse
FXYD2,Intercalated cells,Kidney,human
FXYD2,Gamma (PP) cells,Pancreas,human
FXYD2,Delta cells,Pancreas,human
FXYD2,Cholangiocytes,Liver,human
FXYD2,Beta cells,Pancreas,human
NPY,Interneurons,Brain,human
NPY,Chromaffin cells,Adrenal glands,human
NPY,Neurons,Brain,human
NPY,Neuroendocrine cells,Brain,human
INS,Beta cells,Pancreas,human
RIMS1,Beta cells,Pancreas,human
MAFA,Beta cells,Pancreas,human
EFNA5,Beta cells,Pancreas,human
LMX1A,Beta cells,Pancreas,human
LMX1A,Enterochromaffin cells,GI tract,human
PAX4,Beta cells,Pancreas,human
PAX4,Delta cells,Pancreas,human
IAPP,Enteroendocrine cells,GI tract,human
IAPP,Beta cells,Pancreas,human
IAPP,Delta cells,Pancreas,human
G6PC2,Beta cells,Pancreas,human
ERO1B,Beta cells,Pancreas,mouse
GJD2,Beta cells,Pancreas,human
GJD2,Chromaffin cells,Adrenal glands,human
IGF2,Leydig cells,Reproductive,human
IGF2,Myoblasts,Skeletal muscle,human
IGF2,Chondrocytes,Connective tissue,human
IGF2,Chromaffin cells,Adrenal glands,human
IGF2,Beta cells,Pancreas,human
SYT13,Beta cells,Pancreas,human
NPTX2,Delta cells,Pancreas,human
NPTX2,Beta cells,Pancreas,human
PFKFB2,Beta cells,Pancreas,human
EDARADD,Beta cells,Pancreas,human
ADCYAP1,Beta cells,Pancreas,human
CASR,Osteoclasts,Bone,human
CASR,Parathyroid chief cells,Parathyroid glands,human
CASR,Delta cells,Pancreas,human
CASR,Beta cells,Pancreas,human
ISL1,Cardiac stem and precursor cells,Heart,human
ISL1,Gamma (PP) cells,Pancreas,human
ISL1,Interneurons,Brain,human
ISL1,Beta cells,Pancreas,human
ISL1,Neuroblasts,Brain,human
ISL1,Neurons,Brain,human
ISL1,Motor neurons,Brain,human
ISL1,Enteroendocrine cells,GI tract,human
ISL1,Delta cells,Pancreas,human
ISL1,Retinal ganglion cells,Brain,human
TGFBR3,Beta cells,Pancreas,human
SMAD9,Beta cells,Pancreas,human
SMAD9,Embryonic stem cells,Zygote,human
SIX3,Ependymal cells,Brain,human
SIX3,Beta cells,Pancreas,human
SIX2,Beta cells,Pancreas,human
BMP5,Beta cells,Pancreas,human
BMP5,Stromal cells,Connective tissue,human
PIR,Beta cells,Pancreas,human
STXBP5,Beta cells,Pancreas,human
DLK1,Chondrocytes,Connective tissue,human
DLK1,Hepatoblasts,Liver,human
DLK1,Pericytes,Vasculature,human
DLK1,Leydig cells,Reproductive,human
DLK1,Beta cells,Pancreas,human
Q8CCV7,Hepatic stellate cells,Liver,human
Q8CCV7,Beta cells,Pancreas,human
Q8CCV7,Neurons,Brain,human
RGS16,Beta cells,Pancreas,human
RGS16,Pancreatic progenitor cells,Pancreas,human
RELN,Cajal-Retzius cells,Brain,human
RELN,Interneurons,Brain,human
DIABLO,Plasma cells,Immune system,human
SMOC2,Crypt cells,GI tract,human
SMOC2,Leydig cells,Reproductive,human
DYNC1I1,Neurons,Brain,human
TMEM163,Oligodendrocytes,Brain,human
CACNA2D2,Neurons,Brain,human
CACNA2D2,Tanycytes,Brain,human
NDNF,Interneurons,Brain,human
EBF3,Cajal-Retzius cells,Brain,human
FUT9,Immature neurons,Brain,human
FUT9,Proximal tubule cells,Kidney,human
DACH1,Podocytes,Kidney,human
DNM3,Mast cells,Immune system,human
SLC17A6,Neurons,Brain,human
SLC17A6,Glutaminergic neurons,Brain,human
SLC17A6,Retinal ganglion cells,Brain,human
ACHE,Mast cells,Immune system,human
ACHE,Megakaryocytes,Immune system,human
ACHE,Myoblasts,Skeletal muscle,human
ACHE,Langerhans cells,Skin,human
ACHE,Cholinergic neurons,Brain,human
CCM2,Pyramidal cells,Brain,human
LHX1,Interneurons,Brain,human
CDH4,Radial glia cells,Brain,human
SMAD1,Embryonic stem cells,Zygote,human
TBR1,Immature neurons,Brain,human
LHX5,Interneurons,Brain,human
CALB2,Neurons,Brain,human
CALB2,Cajal-Retzius cells,Brain,human
CALB2,Interneurons,Brain,human
EMX2,Radial glia cells,Brain,human
Q9JJP2,Cajal-Retzius cells,Brain,mouse
EOMES,Cajal-Retzius cells,Brain,human
EOMES,Neuroblasts,Brain,human
EOMES,Neural stem/precursor cells,Brain,human
CNR1,Cajal-Retzius cells,Brain,human
CNR1,Neuroblasts,Brain,human
HAR1A,Cajal-Retzius cells,Brain,human
MYH6,Cardiomyocytes,Heart,human
MYH6,Smooth muscle cells,Smooth muscle,human
TBX18,Pericytes,Vasculature,human
TBX18,Mesangial cells,Kidney,human
FUT4,Monocytes,Immune system,human
FUT4,Eosinophils,Immune system,human
FUT4,Neutrophils,Immune system,human
FUT4,Macrophages,Immune system,human
FUT4,Embryonic stem cells,Zygote,human
KITLG,Embryonic stem cells,Zygote,human
KITLG,Hematopoietic stem cells,Bone,human
KITLG,Sertoli cells,Reproductive,human
NKX2-5,Cardiac stem and precursor cells,Heart,human
GATA4,Cardiomyocytes,Heart,human
GATA4,Sertoli cells,Reproductive,human
GATA4,Enterocytes,GI tract,human
KIT,Mast cells,Immune system,human
KIT,NK cells,Immune system,human
KIT,Erythroid-like and erythroid precursor cells,Blood,human
KIT,Erythroblasts,Blood,human
KIT,Embryonic stem cells,Zygote,human
KIT,Dendritic cells,Immune system,human
KIT,Müller cells,Eye,human
KIT,Hematopoietic stem cells,Bone,human
ABCG2,Endothelial cells,Vasculature,human
ABCG2,Enterocytes,GI tract,human
ABCG2,Hematopoietic stem cells,Bone,human
MESP1,Cardiac stem and precursor cells,Heart,human
ADGRL2,Cardiac stem and precursor cells,Heart,human
ADGRL2,Interneurons,Brain,human
TBX3,Myoblasts,Skeletal muscle,human
TBX3,Cardiac stem and precursor cells,Heart,human
TBX4,Cardiac stem and precursor cells,Heart,human
WNT5A,Cardiac stem and precursor cells,Heart,human
WNT5A,Luminal epithelial cells,Mammary gland,human
WNT5A,Osteoblasts,Bone,human
ANKRD1,Smooth muscle cells,Smooth muscle,human
ANKRD1,Cardiac stem and precursor cells,Heart,human
ANKRD1,Cardiomyocytes,Heart,human
TNNC1,Cardiomyocytes,Heart,human
ADM,Podocytes,Kidney,human
ADM,Cardiomyocytes,Heart,human
ADM,Tanycytes,Brain,human
ADM,Enterochromaffin cells,GI tract,human
NPPA,Cardiomyocytes,Heart,human
FGF2,Fibroblasts,Connective tissue,human
FGF2,Cardiomyocytes,Heart,human
NPPB,Cardiomyocytes,Heart,human
TNNI3,Cardiomyocytes,Heart,human
TNNT2,Cardiomyocytes,Heart,human
NPPC,Cardiomyocytes,Heart,human
DES,Sertoli cells,Reproductive,human
DES,Pericytes,Vasculature,human
DES,Smooth muscle cells,Smooth muscle,human
DES,Podocytes,Kidney,human
DES,Myoblasts,Skeletal muscle,human
DES,Cardiomyocytes,Heart,human
HAND2,Cardiomyocytes,Heart,human
HAND1,Cardiomyocytes,Heart,human
GATA6,Cardiomyocytes,Heart,human
GATA6,Macrophages,Immune system,human
GATA6,Sertoli cells,Reproductive,human
MYL2,Cardiomyocytes,Heart,human
ACTA1,Cardiomyocytes,Heart,human
VLDLR,Neuroblasts,Brain,human
VLDLR,Oligodendrocytes,Brain,human
VLDLR,Cardiomyocytes,Heart,human
ALPK3,Cardiomyocytes,Heart,human
RBM24,Cardiomyocytes,Heart,human
CKMT2,Cardiomyocytes,Heart,human
SPEG,Smooth muscle cells,Smooth muscle,human
MYH7B,Cardiomyocytes,Heart,human
MYOM2,Cardiomyocytes,Heart,human
PDLIM5,Cardiomyocytes,Heart,human
MYH7,Cardiomyocytes,Heart,human
PLN,Cardiomyocytes,Heart,human
PLN,Smooth muscle cells,Smooth muscle,human
TCAP,Cardiomyocytes,Heart,human
SORBS2,Cardiomyocytes,Heart,human
RYR2,Cardiomyocytes,Heart,human
ACTC1,Cardiomyocytes,Heart,human
ACTC1,Smooth muscle cells,Smooth muscle,human
MYL3,Cardiomyocytes,Heart,human
PDE4D,Cardiomyocytes,Heart,human
NEXN,Cardiomyocytes,Heart,human
NEXN,Smooth muscle cells,Smooth muscle,human
MHRT,Cardiomyocytes,Heart,mouse
FHL2,Cardiomyocytes,Heart,human
FHL2,Smooth muscle cells,Smooth muscle,human
FHL2,Endothelial cells,Vasculature,human
FHL2,NK cells,Immune system,human
MYBPC3,Cardiomyocytes,Heart,human
TTN,Myoblasts,Skeletal muscle,human
TTN,Cardiomyocytes,Heart,human
GPIHBP1,Cardiomyocytes,Heart,human
GPIHBP1,Kupffer cells,Liver,human
GPIHBP1,Endothelial cells,Vasculature,human
MFN2,Cardiomyocytes,Heart,human
ASB2,Cardiomyocytes,Heart,human
ART3,Cardiomyocytes,Heart,human
RRAD,Smooth muscle cells,Smooth muscle,human
RRAD,Cardiomyocytes,Heart,human
JPH2,Cardiomyocytes,Heart,human
JPH2,Smooth muscle cells,Smooth muscle,human
HSPB7,Cardiomyocytes,Heart,human
MYOZ2,Cardiomyocytes,Heart,human
ENO3,Cardiomyocytes,Heart,human
TRDN,Cardiomyocytes,Heart,human
ACTN2,Cardiomyocytes,Heart,human
TNNI1,Cardiomyocytes,Heart,human
TNNI1,Loop of Henle cells,Kidney,human
SMPX,Cardiomyocytes,Heart,human
SMPX,Mast cells,Immune system,human
MYL7,Cardiomyocytes,Heart,human
TBX20,Fibroblasts,Connective tissue,human
TBX20,Cardiomyocytes,Heart,human
TRIM63,Cardiomyocytes,Heart,human
MB,Cardiomyocytes,Heart,human
CCN2,Cardiomyocytes,Heart,human
CCN2,Fibroblasts,Connective tissue,human
CCN2,Pericytes,Vasculature,human
CCN2,Pulmonary alveolar type I cells,Lungs,human
CCN2,Endothelial cells,Vasculature,human
CCN2,Tanycytes,Brain,human
CCN2,Hepatic stellate cells,Liver,human
CCN2,Podocytes,Kidney,human
MYL4,Cardiomyocytes,Heart,human
CPT1A,Cardiomyocytes,Heart,human
SOX18,Cardiomyocytes,Heart,human
SOX18,Endothelial cells,Vasculature,human
NOTCH1,Hematopoietic stem cells,Bone,human
NOTCH1,Immature neurons,Brain,human
NOTCH1,Thymocytes,Thymus,human
NOTCH1,Retinal progenitor cells,Eye,human
NOTCH1,Cardiomyocytes,Heart,human
SLN,Cardiomyocytes,Heart,human
CSRP3,Cardiomyocytes,Heart,human
TXLNB,Cardiomyocytes,Heart,human
ATP2A2,Cardiomyocytes,Heart,human
CKM,Cardiomyocytes,Heart,human
CKB,Cardiomyocytes,Heart,human
IL11RA,Cardiomyocytes,Heart,human
ZFPM2,Cardiomyocytes,Heart,human
BDNF,Cardiomyocytes,Heart,human
GJA5,Endothelial cells,Vasculature,human
GJA5,Cardiomyocytes,Heart,human
FMOD,Cardiomyocytes,Heart,human
MTTP,Enterocytes,GI tract,human
MTTP,Cardiomyocytes,Heart,human
SLC5A1,Proximal tubule cells,Kidney,human
SLC5A1,Enterocytes,GI tract,human
SLC5A1,Cardiomyocytes,Heart,human
TRPV1,Cardiomyocytes,Heart,human
TRPV1,Urothelial cells,Urinary bladder,human
SGPL1,Cardiomyocytes,Heart,human
HMGB2,Gamma delta T cells,Immune system,human
HMGB2,Cardiomyocytes,Heart,human
STC1,Principal cells,Kidney,human
STC1,Cardiomyocytes,Heart,human
FGF23,Osteocytes,Bone,human
FGF23,Cardiomyocytes,Heart,human
STRN,Cardiomyocytes,Heart,human
HEY2,Cardiomyocytes,Heart,human
HEY2,Loop of Henle cells,Kidney,human
ADIPOR1,Sebocytes,Skin,human
ADIPOR1,Cardiomyocytes,Heart,human
ADIPOR2,Cardiomyocytes,Heart,human
PDE1A,Cardiomyocytes,Heart,human
PDE1A,Interneurons,Brain,human
CASQ2,Cardiomyocytes,Heart,human
TPM1,Cardiomyocytes,Heart,human
TPM1,Peritubular myoid cells,Reproductive,human
SSTR2,Cholangiocytes,Liver,human
SSTR2,Enteroendocrine cells,GI tract,human
SSTR2,Immature neurons,Brain,human
SLC4A2,Cholangiocytes,Liver,human
SCTR,Cholangiocytes,Liver,human
KRT7,Pulmonary alveolar type I cells,Lungs,human
KRT7,Epithelial cells,Epithelium,human
KRT7,Mammary epithelial cells,Mammary gland,human
KRT7,Trophoblast cells,Embryo,human
KRT7,Cholangiocytes,Liver,human
KRT7,Sebocytes,Skin,human
KRT7,Ductal cells,Pancreas,human
KCNN2,Cholangiocytes,Liver,human
GGT6,Cholangiocytes,Liver,human
CFTR,Ionocytes,Lungs,human
CFTR,Cholangiocytes,Liver,human
CFTR,Ductal cells,Pancreas,human
CCKBR,Cholangiocytes,Liver,human
CCKBR,Neuroblasts,Brain,human
GGT1,Cholangiocytes,Liver,human
JAG1,Intercalated cells,Kidney,human
JAG1,Cholangiocytes,Liver,human
GPBAR1,Cholangiocytes,Liver,human
GGT7,Cholangiocytes,Liver,human
KRT19,Mammary epithelial cells,Mammary gland,human
KRT19,Ductal cells,Pancreas,human
KRT19,Luminal epithelial cells,Mammary gland,human
KRT19,Cholangiocytes,Liver,human
ONECUT2,Microfold cells,GI tract,human
ONECUT2,Cholangiocytes,Liver,human
ALPL,Pluripotent stem cells,,human
ALPL,Pericytes,Vasculature,human
ALPL,Cholangiocytes,Liver,human
ALPL,Proximal tubule cells,Kidney,human
ALPL,Osteoblasts,Bone,human
HNF1B,Hepatoblasts,Liver,human
HNF1B,Ductal cells,Pancreas,human
HNF1B,Cholangiocytes,Liver,human
ALB,Cholangiocytes,Liver,human
ALB,Hepatocytes,Liver,human
ALB,Hepatoblasts,Liver,human
MUC17,Cholangiocytes,Liver,mouse
MUC17,Goblet cells,GI tract,mouse
MUC17,Enterocytes,GI tract,mouse
MUC3A,Cholangiocytes,Liver,mouse
MUC3A,Goblet cells,GI tract,mouse
MUC3A,Enterocytes,GI tract,mouse
TFF3,Proximal tubule cells,Kidney,human
TFF3,Cholangiocytes,Liver,human
TFF3,Neurons,Brain,human
TFF3,Goblet cells,GI tract,human
TFF1,Ductal cells,Pancreas,human
TFF1,Foveolar cells,GI tract,human
TFF1,Cholangiocytes,Liver,human
EPCAM,Epithelial cells,Epithelium,human
EPCAM,Cholangiocytes,Liver,human
EPCAM,Embryonic stem cells,Zygote,human
EPCAM,Langerhans cells,Skin,human
EPCAM,Epiblast cells,Embryo,human
CLDN4,Cholangiocytes,Liver,human
CLDN4,Ductal cells,Pancreas,human
CLDN4,Luminal epithelial cells,Mammary gland,human
DEFB1,Ductal cells,Pancreas,human
DEFB1,Cholangiocytes,Liver,human
DEFB1,Loop of Henle cells,Kidney,human
CXCL1,Loop of Henle cells,Kidney,human
CXCL1,Myoblasts,Skeletal muscle,human
CXCL1,Satellite cells,Skeletal muscle,human
CXCL1,Neurons,Brain,human
CXCL1,Macrophages,Immune system,human
CXCL1,Endothelial cells,Vasculature,human
CXCL1,Cholangiocytes,Liver,human
CXCL6,Cholangiocytes,Liver,human
TACSTD2,Ductal cells,Pancreas,human
TACSTD2,Cholangiocytes,Liver,human
ELF3,Cholangiocytes,Liver,human
SPP1,Osteoclasts,Bone,human
SPP1,Ductal cells,Pancreas,human
SPP1,Cholangiocytes,Liver,human
SPP1,Osteoblasts,Bone,human
LGALS4,Ductal cells,Pancreas,human
LGALS4,Foveolar cells,GI tract,human
LGALS4,Cholangiocytes,Liver,human
CHAT,Neurons,Brain,human
CHAT,Interneurons,Brain,human
CHAT,Cholinergic neurons,Brain,human
SLC18A3,Dopaminergic neurons,Brain,human
SLC18A3,Cholinergic neurons,Brain,human
SLC18A3,Noradrenergic neurons,Brain,human
SLC5A7,Cholinergic neurons,Brain,human
SLC5A7,Interneurons,Brain,human
TAC1,Enteroendocrine cells,GI tract,human
TAC1,Neurons,Brain,mouse
TAC1,Cholinergic neurons,Brain,human
TAC1,Enteric neurons,GI tract,human
BRCA1,Germ cells,Reproductive,human
BRCA1,Cholinergic neurons,Brain,human
ACLY,Hepatocytes,Liver,human
ACLY,Cholinergic neurons,Brain,human
PRG4,Delta cells,Pancreas,human
PRG4,Chondrocytes,Connective tissue,human
PRG4,Fibroblasts,Connective tissue,human
TNC,Chondrocytes,Connective tissue,human
CRTAC1,Chondrocytes,Connective tissue,human
CREB3L2,Chondrocytes,Connective tissue,human
RUNX2,Mammary epithelial cells,Mammary gland,human
RUNX2,Chondrocytes,Connective tissue,human
RUNX2,Osteoblasts,Bone,human
ACAN,Chondrocytes,Connective tissue,human
COL2A1,Müller cells,Eye,human
COL2A1,Chondrocytes,Connective tissue,human
COMP,Chondrocytes,Connective tissue,human
MATN3,Chondrocytes,Connective tissue,human
RUNX3,Chondrocytes,Connective tissue,human
RUNX3,Pulmonary alveolar type II cells,Lungs,human
RUNX3,Macrophages,Immune system,human
SOX6,Chondrocytes,Connective tissue,human
BMP2,Chondrocytes,Connective tissue,human
BMP2,Endothelial cells,Vasculature,human
FGF18,Chondrocytes,Connective tissue,human
GLI3,Chondrocytes,Connective tissue,human
GLI3,Radial glia cells,Brain,human
PBX3,Chondrocytes,Connective tissue,human
PTHLH,Chondrocytes,Connective tissue,human
STAT1,Chondrocytes,Connective tissue,human
MMP13,Chondrocytes,Connective tissue,human
MMP13,Kupffer cells,Liver,human
MMP13,Osteoblasts,Bone,human
VEGFA,Platelets,Blood,human
VEGFA,Pulmonary alveolar type I cells,Lungs,human
VEGFA,Megakaryocytes,Immune system,human
VEGFA,Chondrocytes,Connective tissue,human
VEGFA,Enteroendocrine cells,GI tract,human
VEGFA,Fibroblasts,Connective tissue,human
VEGFA,Podocytes,Kidney,human
MATN1,Chondrocytes,Connective tissue,human
COL9A1,Chondrocytes,Connective tissue,human
COL9A1,Müller cells,Eye,human
COL10A1,Chondrocytes,Connective tissue,human
MIA,Chondrocytes,Connective tissue,human
SDC3,Chondrocytes,Connective tissue,human
EMP1,Chondrocytes,Connective tissue,human
EMP1,Endothelial cells,Vasculature,human
COL6A1,Müller cells,Eye,human
COL6A1,Pancreatic stellate cells,Pancreas,human
CYTL1,Chondrocytes,Connective tissue,human
LUM,Chondrocytes,Connective tissue,human
LUM,Meningeal cells,Brain,human
LUM,Fibroblasts,Connective tissue,human
GADD45B,Chondrocytes,Connective tissue,human
SCRG1,Neurons,Brain,human
SCRG1,Chondrocytes,Connective tissue,human
COL11A1,Müller cells,Eye,human
COL11A1,Osteoblasts,Bone,human
S100A9,Myeloid-derived suppressor cells,Immune system,human
S100A9,Chondrocytes,Connective tissue,human
S100A9,Eosinophils,Immune system,human
S100A9,Microglia,Brain,human
S100A9,Megakaryocytes,Immune system,human
S100A9,Dendritic cells,Immune system,human
S100A9,Platelets,Blood,human
S100A9,Monocytes,Immune system,human
S100A9,Neutrophils,Immune system,human
CHAD,Chondrocytes,Connective tissue,human
CHODL,Myocytes,Skeletal muscle,human
CHODL,Chondrocytes,Connective tissue,human
CHODL,Neurons,Brain,human
ATF4,Chondrocytes,Connective tissue,human
SHOX,Chondrocytes,Connective tissue,human
MGP,Pancreatic stellate cells,Pancreas,human
MGP,Endothelial cells,Vasculature,human
MGP,Fibroblasts,Connective tissue,human
MGP,Chondrocytes,Connective tissue,human
TCF4,Chondrocytes,Connective tissue,human
TCF4,Fibroblasts,Connective tissue,human
TCF4,Plasmacytoid dendritic cells,Immune system,human
VDR,Hepatocytes,Liver,human
VDR,Parathyroid chief cells,Parathyroid glands,human
VDR,Kupffer cells,Liver,human
VDR,Chondrocytes,Connective tissue,human
VDR,Enterocytes,GI tract,human
VDR,Osteoblasts,Bone,human
VDR,Distal tubule cells,Kidney,human
VDR,Osteoclasts,Bone,human
ATRX,Chondrocytes,Connective tissue,human
AGER,Pyramidal cells,Brain,human
AGER,Chondrocytes,Connective tissue,human
AGER,Osteoclasts,Bone,human
AGER,Pulmonary alveolar type I cells,Lungs,human
AGER,Pulmonary alveolar type II cells,Lungs,human
IL10RA,Chondrocytes,Connective tissue,human
KL,Choroid plexus cells,Brain,human
KL,Parathyroid chief cells,Parathyroid glands,human
SOSTDC1,Distal tubule cells,Kidney,human
SOSTDC1,Choroid plexus cells,Brain,human
CLIC6,Choroid plexus cells,Brain,human
SLC4A10,Choroid plexus cells,Brain,human
Q8CI85,Choroid plexus cells,Brain,mouse
CLDN2,Proximal tubule cells,Kidney,human
PRLR,Luteal cells,Reproductive,human
PRLR,Mammary epithelial cells,Mammary gland,human
PRLR,Leydig cells,Reproductive,human
PRLR,Follicular cells,Thyroid,human
PRLR,Sertoli cells,Reproductive,human
CLDN1,Ductal cells,Pancreas,human
CLDN1,Langerhans cells,Skin,human
CLDN1,Mammary epithelial cells,Mammary gland,human
CLDN1,Epithelial cells,Epithelium,human
SLC26A11,Choroid plexus cells,Brain,human
SLC26A11,Intercalated cells,Kidney,human
CHMP1A,Choroid plexus cells,Brain,human
SLC26A4,Chromaffin cells,Adrenal glands,human
SLC26A4,Platelets,Blood,human
SLC26A4,Intercalated cells,Kidney,human
AGRP,Chromaffin cells,Adrenal glands,human
AGRP,Neurons,Brain,human
SNAP25,Chromaffin cells,Adrenal glands,human
SNAP25,Neurons,Brain,human
SNAPIN,Chromaffin cells,Adrenal glands,human
RAPGEF2,Mast cells,Immune system,human
RAPGEF2,Chromaffin cells,Adrenal glands,human
SERPINE1,Platelets,Blood,human
SERPINE1,Chromaffin cells,Adrenal glands,human
CACNA1D,Chromaffin cells,Adrenal glands,human
PIK3C2A,Chromaffin cells,Adrenal glands,human
NCS1,Chromaffin cells,Adrenal glands,human
PLD1,Chromaffin cells,Adrenal glands,human
PLD2,Chromaffin cells,Adrenal glands,human
DOC2B,Chromaffin cells,Adrenal glands,human
UNC13A,Chromaffin cells,Adrenal glands,human
SLC18A1,Chromaffin cells,Adrenal glands,human
SLC18A1,Enterochromaffin cells,GI tract,human
STX1A,Neurons,Brain,human
STX1A,Chromaffin cells,Adrenal glands,human
SLC12A2,Ionocytes,Lungs,human
SLC12A2,Chromaffin cells,Adrenal glands,human
SLC12A2,Crypt cells,GI tract,human
SLC12A2,Luminal epithelial cells,Mammary gland,human
PLAT,Chromaffin cells,Adrenal glands,human
CCDC153,Ependymal cells,Brain,human
TMEM212,Ependymal cells,Brain,human
FOXJ1,Ependymal cells,Brain,human
FOXJ1,Ciliated cells,Lungs,human
ODF3B,Ependymal cells,Brain,human
SCGB1A1,Epithelial cells,Epithelium,human
SCGB1A1,Clara cells,Lungs,human
TUBB4B,Ciliated cells,Lungs,human
SYT2,Clara cells,Lungs,human
CYP2E1,Proximal tubule cells,Kidney,human
CYP2E1,Hepatocytes,Liver,human
CYP2E1,Clara cells,Lungs,human
FOXM1,Clara cells,Lungs,human
P33267,Clara cells,Lungs,mouse
P33267,Hepatocytes,Liver,mouse
CTSE,Clara cells,Lungs,human
SCGB3A2,Clara cells,Lungs,human
SFTPC,Pulmonary alveolar type II cells,Lungs,human
SFTPC,Clara cells,Lungs,human
CYP4B1,Clara cells,Lungs,human
CYP4B1,Pulmonary alveolar type I cells,Lungs,human
CYP4B1,Loop of Henle cells,Kidney,human
BPIFA1,Clara cells,Lungs,human
AHR,NK cells,Immune system,human
AHR,Macrophages,Immune system,human
AHR,T helper cells,Immune system,human
AHR,Langerhans cells,Skin,human
AHR,Hepatocytes,Liver,human
AHR,Microfold cells,GI tract,human
AHR,Clara cells,Lungs,human
MMP28,Clara cells,Lungs,human
LEPR,Clara cells,Lungs,human
LEPR,Delta cells,Pancreas,human
LEPR,Hepatocytes,Liver,human
ERN1,Clara cells,Lungs,human
ERN1,Plasmacytoid dendritic cells,Immune system,human
SFTPA1,Clara cells,Lungs,human
SFTPA1,Müller cells,Eye,human
SFTPA1,Pulmonary alveolar type II cells,Lungs,human
CARM1,Clara cells,Lungs,human
P12791,Pulmonary alveolar type I cells,Lungs,mouse
P12791,Clara cells,Lungs,mouse
RAB3D,Clara cells,Lungs,human
RAB3D,Gastric chief cells,GI tract,human
SFTPD,Pulmonary alveolar type II cells,Lungs,human
SFTPD,Clara cells,Lungs,human
KCNE3,Mast cells,Immune system,human
